"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"549";"Rider1";"51/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;156069;120,56;0,142857142857143;20,7925659472422;0,396200992474284;21,3316240825736;"good"
"550";"Rider3";"47/2013";0;0;0;2;2255;130,82;0;0;0;0;0;0;0;0;0;3;4597;143,52;2;9895;128,57;0,5;2,23114841460165;1,32409872161425;4,0552471362159;"bad"
"551";"Rider4";"47/2013";1;12752;115,62;2;3478;137,54;2;4353;134,75;1;8652;114,97;0;0;0;2;7070;140,23;0;0;0;0,571428571428571;4,83679722888356;2,11347727496796;7,52170307528009;"good"
"552";"Rider3";"21/2012";0;0;0;2;6112;128,93;2;12346;124,67;2;6280;128,94;0;0;0;2;3121;131,27;3;6738;171,42;0,785714285714286;4,60924593658407;2,25189786059351;7,64685808289187;"good"
"553";"Rider2";"21/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10478;122,72;0;0;0;0,142857142857143;1,39594990674127;0,403299484044826;1,94210653364324;"bad"
"554";"Rider4";"21/2012";0;0;0;0;0;0;0;0;0;2;9019;120,54;1;6487;77,42;0;0;0;0;0;0;0,214285714285714;2,0658140154543;0,650563607085346;2,93066333682536;"bad"
"555";"Rider3";"5/2015";2;3297;138,3;0;0;0;0;0;0;0;0;0;0;0;0;2;9390;138,18;3;4117;145,99;0,5;2,23874233946176;1,38837950639193;4,12712184585369;"bad"
"556";"Rider5";"5/2015";0;0;0;2;4589;122,88;1;5447;116,96;0;0;0;0;0;0;1;5061;103,26;2;5449;123,22;0,428571428571429;2,73727684519051;1,5324854579513;4,69833373171324;"bad"
"557";"Rider2";"5/2015";1;6382;97,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0714285714285714;0,85025313082867;0,319629300995761;1,241311003253;"bad"
"558";"Rider1";"5/2015";2;7345;138,53;3;7547;162,37;0;0;0;3;9144;152,32;0;0;0;2;11842;138,54;2;2996;141,15;0,857142857142857;5,17905675459632;2,40859048933583;8,44479010107501;"good"
