"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"50";"Rider7";"26/2014";1;9177;103,11;1;8464;112,74;1;4706;108,32;1;10963;112,61;1;7273;97,65;1;12628;114,91;1;14058;116,85;0,5;8,96203037569944;2,51795984094121;11,9799902166406;"good"
"54";"Rider1";"26/2014";0;0;0;0;0;0;0;0;0;1;13662;115,28;1;6366;105,58;3;4570;165,32;3;16747;147,11;0,571428571428571;5,50826005861977;1,75257156002498;7,83226019007332;"good"
"55";"Rider4";"26/2014";1;13740;92,2;1;7177;108,2;2;12667;119,48;2;19154;139,12;2;15306;118,95;1;13624;108,36;0;0;0;0,642857142857143;10,8803623767653;2,25544710637878;13,7786666260012;"good"
"56";"Rider7";"11/2014";0;0;0;0;0;0;1;5967;114,98;2;4516;124,5;1;7279;115,9;1;5044;105,62;3;7340;148,48;0,571428571428571;4,01625366373568;2,00295770482106;6,59063993998531;"good"
"59";"Rider2";"11/2014";0;0;0;2;7627;133,37;2;8043;128,98;2;6256;121,57;0;0;0;2;12565;125,25;1;5925;110,69;0,642857142857143;5,38449240607514;2,03706990042394;8,06441944935622;"good"
"60";"Rider1";"11/2014";2;4283;124,44;2;9575;134,35;3;11621;142,13;0;0;0;2;10118;134,18;1;7966;87,71;3;11999;160,16;0,928571428571429;7,402344790834;2,5731046041605;10,9040208235659;"good"
"61";"Rider4";"11/2014";1;9748;108,46;3;10621;146,2;2;11899;140,79;3;16286;144,98;0;0;0;0;0;0;0;0;0;0,642857142857143;6,46869171329603;1,77603601827204;8,88758487442522;"good"
"65";"Rider2";"38/2013";0;0;0;1;4105;102,07;2;4804;118,41;0;0;0;2;3164;118,17;3;23786;143,95;0;0;0;0,571428571428571;4,77737809752198;1,58598705182556;6,93479372077611;"good"
"67";"Rider4";"38/2013";1;2;64,5;0;0;0;2;12478;133,9;2;5677;139,49;0;0;0;0;0;0;2;14246;118,25;0,5;4,31694644284572;1,49903053008643;6,31597697293216;"good"
"68";"Rider7";"33/2014";2;7056;125,82;2;95007;119,38;0;0;0;0;0;0;1;8283;111,87;0;0;0;2;7707;120,73;0,5;15,7278177458034;1,57021262611325;17,7980303719166;"good"
